Run_ID,Scarcity,Group,Personality,Survival_Count,First_Death_Turn,Who_Died_First,Total_Robs,Total_Hypocrisy,Poor_First_Crime_Turn,Rich_First_Crime_Turn
experiment_ABUNDANCE_All_Aggressive_01,ABUNDANCE,All_Aggressive,Aggressive,0,14,Middle,3,28,16,50
experiment_ABUNDANCE_All_Aggressive_02,ABUNDANCE,All_Aggressive,Aggressive,1,15,Poor,1,38,50,50
experiment_ABUNDANCE_All_Aggressive_03,ABUNDANCE,All_Aggressive,Aggressive,0,14,Middle,0,29,50,50
experiment_ABUNDANCE_All_Aggressive_04,ABUNDANCE,All_Aggressive,Aggressive,0,15,Rich,1,25,50,15
experiment_ABUNDANCE_All_Aggressive_05,ABUNDANCE,All_Aggressive,Aggressive,0,15,Poor,0,31,50,50
experiment_ABUNDANCE_All_Aggressive_06,ABUNDANCE,All_Aggressive,Aggressive,0,15,Middle,0,34,50,50
experiment_ABUNDANCE_All_Aggressive_07,ABUNDANCE,All_Aggressive,Aggressive,1,16,Poor,0,44,50,50
experiment_ABUNDANCE_All_Aggressive_08,ABUNDANCE,All_Aggressive,Aggressive,0,16,Poor,0,29,50,50
experiment_ABUNDANCE_All_Aggressive_09,ABUNDANCE,All_Aggressive,Aggressive,1,15,Middle,0,28,50,50
experiment_ABUNDANCE_All_Aggressive_10,ABUNDANCE,All_Aggressive,Aggressive,0,16,Poor,1,27,50,50
experiment_ABUNDANCE_All_Aggressive_11,ABUNDANCE,All_Aggressive,Aggressive,0,13,Poor,0,28,50,50
experiment_ABUNDANCE_All_Aggressive_12,ABUNDANCE,All_Aggressive,Aggressive,0,14,Poor,0,26,50,50
experiment_ABUNDANCE_All_Aggressive_13,ABUNDANCE,All_Aggressive,Aggressive,0,16,Poor,0,31,50,50
experiment_ABUNDANCE_All_Aggressive_14,ABUNDANCE,All_Aggressive,Aggressive,0,14,Poor,0,36,50,50
experiment_ABUNDANCE_All_Aggressive_15,ABUNDANCE,All_Aggressive,Aggressive,0,16,Poor,0,28,50,50
experiment_ABUNDANCE_All_Aggressive_16,ABUNDANCE,All_Aggressive,Aggressive,1,15,Poor,0,30,50,50
experiment_ABUNDANCE_All_Aggressive_17,ABUNDANCE,All_Aggressive,Aggressive,0,14,Poor,0,24,50,50
