Scarcity,Personality,Group,Metric,N,Mean,SD,SE,CI95_Low,CI95_High
ABUNDANCE,Aggressive,All_Aggressive,Talk_Count,50,53.76,20.123658530522256,2.84591508184296,48.182006439587795,59.3379935604122
ABUNDANCE,Aggressive,All_Aggressive,Gather_Count,50,7.98,6.695993319188143,0.9469564565555508,6.123965345151121,9.83603465484888
ABUNDANCE,Aggressive,All_Aggressive,Rob_Count,50,0.46,0.6764251772429551,0.09566096595876118,0.2725045067208281,0.6474954932791719
ABUNDANCE,Aggressive,All_Aggressive,Give_Count,50,0.04,0.19794866372215741,0.027994168488950606,-0.014868570238343183,0.09486857023834319
ABUNDANCE,Aggressive,All_Aggressive,Eat_Count,50,5.56,6.305682568371265,0.8917581808210253,3.81215396559079,7.307846034409209
ABUNDANCE,Aggressive,All_Aggressive,Talk_Rate,50,0.6530560891330031,0.23028371089851662,0.03256703471462871,0.5892247010923308,0.7168874771736753
ABUNDANCE,Aggressive,All_Aggressive,Gather_Rate,50,0.09046596342015867,0.06623378983348902,0.009366872386988937,0.07210689354166035,0.10882503329865699
ABUNDANCE,Aggressive,All_Aggressive,Social_Rate,50,0.6593666257755162,0.23223490675184008,0.03284297547849033,0.5949943938376752,0.7237388577133572
ABUNDANCE,Aggressive,All_Aggressive,Productive_Rate,50,0.13557782735158444,0.07980455318555775,0.011286068145414075,0.11345713378657285,0.15769852091659603
ABUNDANCE,Altruistic,All_Altruistic,Talk_Count,50,93.38,7.176748169311383,1.014945459477644,91.39070689942382,95.36929310057617
ABUNDANCE,Altruistic,All_Altruistic,Gather_Count,50,25.66,6.466901601735611,0.9145579951706791,23.86746632946547,27.45253367053453
ABUNDANCE,Altruistic,All_Altruistic,Rob_Count,50,0.0,0.0,0.0,0.0,0.0
ABUNDANCE,Altruistic,All_Altruistic,Give_Count,50,2.7,1.9086270308410553,0.2699206232527312,2.170955578424647,3.2290444215753533
ABUNDANCE,Altruistic,All_Altruistic,Eat_Count,50,26.22,1.1830434635864795,0.167307611108084,25.892077082228155,26.547922917771842
ABUNDANCE,Altruistic,All_Altruistic,Talk_Rate,50,0.6233673758865248,0.04874781777766529,0.006893982503726652,0.6098551701792205,0.6368795815938291
ABUNDANCE,Altruistic,All_Altruistic,Gather_Rate,50,0.17120283687943263,0.042915421559773674,0.0060691571204790655,0.15930728892329366,0.18309838483557161
ABUNDANCE,Altruistic,All_Altruistic,Social_Rate,50,0.6413843971631206,0.04874525499067936,0.006893620070915355,0.6278729018241265,0.6548958925021147
ABUNDANCE,Altruistic,All_Altruistic,Productive_Rate,50,0.3462070921985816,0.04836561981697131,0.0068399315497741755,0.3328008263610242,0.359613358036139
ABUNDANCE,Dominant,All_Dominant,Talk_Count,50,75.82,15.013857544526887,2.123280096300754,71.65837101125052,79.98162898874946
ABUNDANCE,Dominant,All_Dominant,Gather_Count,50,31.06,4.970976990984565,0.703002307889497,29.682115476536584,32.43788452346341
ABUNDANCE,Dominant,All_Dominant,Rob_Count,50,4.02,2.470148305883925,0.3493317235253971,3.3353098218902213,4.704690178109778
ABUNDANCE,Dominant,All_Dominant,Give_Count,50,0.68,1.3161477492892595,0.18613139971316947,0.3151824565621879,1.0448175434378122
