Scarcity,Personality,Group,Metric,N,Mean,SD,SE,CI95_Low,CI95_High
ABUNDANCE,Aggressive,All_Aggressive,Survival_Count,50,0.62,0.7795864942652716,0.11025017932328421,0.40390964852636296,0.8360903514736371
ABUNDANCE,Aggressive,All_Aggressive,First_Death_Turn,50,19.32,8.596249775575489,1.215693301816553,16.937241128439556,21.702758871560444
ABUNDANCE,Aggressive,All_Aggressive,Total_Robs,50,0.46,0.6764251772429551,0.09566096595876118,0.2725045067208281,0.6474954932791719
ABUNDANCE,Aggressive,All_Aggressive,Total_Hypocrisy,50,36.34,16.08981170854173,2.2754429934249134,31.880131732887172,40.799868267112835
ABUNDANCE,Altruistic,All_Altruistic,Survival_Count,50,2.96,0.19794866372215741,0.027994168488950606,2.905131429761657,3.014868570238343
ABUNDANCE,Altruistic,All_Altruistic,First_Death_Turn,50,49.8,1.2777531299998799,0.18070158058105024,49.44582490206114,50.154175097938854
ABUNDANCE,Altruistic,All_Altruistic,Total_Robs,50,0.0,0.0,0.0,0.0,0.0
ABUNDANCE,Altruistic,All_Altruistic,Total_Hypocrisy,50,2.44,1.5539285303871027,0.21975868026319326,2.0092729866841412,2.8707270133158587
ABUNDANCE,Dominant,All_Dominant,Survival_Count,50,2.38,0.752953368748825,0.10648368659190985,2.1712919742798564,2.5887080257201434
ABUNDANCE,Dominant,All_Dominant,First_Death_Turn,50,42.24,11.596199236590145,1.6399502232366314,39.0256975624562,45.4543024375438
ABUNDANCE,Dominant,All_Dominant,Total_Robs,50,4.02,2.470148305883925,0.3493317235253971,3.3353098218902213,4.704690178109778
ABUNDANCE,Dominant,All_Dominant,Total_Hypocrisy,50,16.8,8.502100580780862,1.2023785950000463,14.44333795379991,19.15666204620009
FAMINE,Aggressive,All_Aggressive,Survival_Count,50,1.0,0.0,0.0,1.0,1.0
FAMINE,Aggressive,All_Aggressive,First_Death_Turn,50,14.66,1.5857786344729898,0.2242629651793189,14.220444588248535,15.099555411751465
FAMINE,Aggressive,All_Aggressive,Total_Robs,50,1.6,0.7824607964359516,0.11065666703449761,1.3831129326123848,1.8168870673876154
FAMINE,Aggressive,All_Aggressive,Total_Hypocrisy,50,42.76,6.355328794140603,0.8987792174013889,40.998392733893276,44.52160726610672
FAMINE,Altruistic,All_Altruistic,Survival_Count,50,0.9,0.30304576336566325,0.04285714285714286,0.8160000000000001,0.984
FAMINE,Altruistic,All_Altruistic,First_Death_Turn,50,15.56,2.8367846126866083,0.4011819272792709,14.77368342253263,16.34631657746737
FAMINE,Altruistic,All_Altruistic,Total_Robs,50,0.7,0.6468132241526726,0.09147320339189784,0.5207125213518802,0.8792874786481197
FAMINE,Altruistic,All_Altruistic,Total_Hypocrisy,50,4.64,3.9474093803818384,0.5582479881974771,3.5458339431329446,5.734166056867055
FAMINE,Dominant,All_Dominant,Survival_Count,50,1.02,0.24660966430902956,0.03487587318781058,0.9516432885518913,1.0883567114481087
FAMINE,Dominant,All_Dominant,First_Death_Turn,50,12.56,1.9604247769609648,0.27724593075904463,12.016597975712273,13.103402024287728
FAMINE,Dominant,All_Dominant,Total_Robs,50,3.66,1.6364471221745813,0.2314285714285714,3.2064000000000004,4.1136
FAMINE,Dominant,All_Dominant,Total_Hypocrisy,50,7.3,4.229391812310704,0.5981263261559521,6.127672400734333,8.472327599265666
