Run_ID,Scarcity,Group,Personality,Total_Actions,Talk_Count,Gather_Count,Rob_Count,Give_Count,Eat_Count,Move_Count,Idle_Count,Talk_Rate,Gather_Rate,Talk_Gather_Ratio,Social_Rate,Productive_Rate
experiment_ABUNDANCE_All_Aggressive_01,ABUNDANCE,All_Aggressive,Aggressive,51,41,2,3,0,0,3,2,0.803921568627451,0.0392156862745098,20.5,0.8627450980392157,0.0392156862745098
experiment_ABUNDANCE_All_Aggressive_02,ABUNDANCE,All_Aggressive,Aggressive,150,52,18,1,0,8,3,68,0.3466666666666667,0.12,2.888888888888889,0.35333333333333333,0.17333333333333334
experiment_ABUNDANCE_All_Aggressive_03,ABUNDANCE,All_Aggressive,Aggressive,51,41,5,0,0,0,3,2,0.803921568627451,0.09803921568627451,8.2,0.803921568627451,0.09803921568627451
experiment_ABUNDANCE_All_Aggressive_04,ABUNDANCE,All_Aggressive,Aggressive,69,46,8,1,0,3,2,9,0.6666666666666666,0.11594202898550725,5.75,0.6811594202898551,0.15942028985507245
experiment_ABUNDANCE_All_Aggressive_05,ABUNDANCE,All_Aggressive,Aggressive,51,47,2,0,0,0,1,1,0.9215686274509803,0.0392156862745098,23.5,0.9215686274509803,0.0392156862745098
experiment_ABUNDANCE_All_Aggressive_06,ABUNDANCE,All_Aggressive,Aggressive,51,42,3,0,0,0,3,3,0.8235294117647058,0.058823529411764705,14.0,0.8235294117647058,0.058823529411764705
experiment_ABUNDANCE_All_Aggressive_07,ABUNDANCE,All_Aggressive,Aggressive,150,53,20,0,0,9,2,66,0.35333333333333333,0.13333333333333333,2.65,0.35333333333333333,0.19333333333333333
experiment_ABUNDANCE_All_Aggressive_08,ABUNDANCE,All_Aggressive,Aggressive,63,45,6,0,0,1,3,8,0.7142857142857143,0.09523809523809523,7.5,0.7142857142857143,0.1111111111111111
experiment_ABUNDANCE_All_Aggressive_09,ABUNDANCE,All_Aggressive,Aggressive,150,52,21,0,0,9,2,66,0.3466666666666667,0.14,2.4761904761904763,0.3466666666666667,0.2
experiment_ABUNDANCE_All_Aggressive_10,ABUNDANCE,All_Aggressive,Aggressive,132,56,15,1,0,6,0,54,0.42424242424242425,0.11363636363636363,3.7333333333333334,0.4318181818181818,0.1590909090909091
experiment_ABUNDANCE_All_Aggressive_11,ABUNDANCE,All_Aggressive,Aggressive,51,38,8,0,0,0,2,3,0.7450980392156863,0.1568627450980392,4.75,0.7450980392156863,0.1568627450980392
experiment_ABUNDANCE_All_Aggressive_12,ABUNDANCE,All_Aggressive,Aggressive,51,39,7,0,0,0,2,3,0.7647058823529411,0.13725490196078433,5.571428571428571,0.7647058823529411,0.13725490196078433
experiment_ABUNDANCE_All_Aggressive_13,ABUNDANCE,All_Aggressive,Aggressive,60,45,5,0,1,1,1,7,0.75,0.08333333333333333,9.0,0.7666666666666667,0.1
experiment_ABUNDANCE_All_Aggressive_14,ABUNDANCE,All_Aggressive,Aggressive,51,45,3,0,0,0,1,2,0.8823529411764706,0.058823529411764705,15.0,0.8823529411764706,0.058823529411764705
experiment_ABUNDANCE_All_Aggressive_15,ABUNDANCE,All_Aggressive,Aggressive,51,48,0,0,0,0,3,0,0.9411764705882353,0.0,,0.9411764705882353,0.0
